org,coordinates.lon,coordinates.lat
Adelanto,-117.40922,34.58277
Agoura Hills,-118.76168,34.15334
Alameda,-122.28219,37.77987
Albany,-122.29776,37.8867
Alhambra,-118.12701,34.09529
Aliso Viejo,-117.7263,33.56846
Alturas,-120.54246,41.48711
Amador City,-120.8241,38.41936
American Canyon,-122.2608,38.17492
Anaheim,-117.9143,33.83659
Anderson,-122.29778,40.44821
Angels Camp,-120.53853,38.06778
Antioch,-121.80579,38.00492
Apple Valley,-117.18588,34.50083
Arcadia,-118.03534,34.13973
Arcata,-124.08284,40.86652
Arroyo Grande,-120.59073,35.11859
Artesia,-118.08312,33.86585
Arvin,-118.83311,35.2018
Atascadero,-120.67073,35.48942
Atherton,-122.19774,37.46133
Atwater,-120.60908,37.34772
Auburn,-121.07689,38.89657
Avalon,-118.32823,33.34282
Avenal,-120.12903,36.00412
Azusa,-117.90756,34.13362
Bakersfield,-119.01871,35.37329
Baldwin Park,-117.9609,34.08529
Banning,-116.87641,33.92557
Barstow,-117.01728,34.8958
Beaumont,-116.97725,33.92946
Bell,-118.18702,33.97751
Bellflower,-118.11701,33.88168
Bell Gardens,-118.15146,33.96529
Belmont,-122.2758,37.52021
Belvedere,-122.46442,37.8727
Benicia,-122.15858,38.04937
Berkeley,-122.27304,37.87152
Beverly Hills,-118.40036,34.07362
Big Bear Lake,-116.91142,34.2439
Biggs,-121.71275,39.41239
Bishop,-118.39966,37.36142
Blue Lake,-123.98395,40.88291
Blythe,-114.58826,33.61777
Bradbury,-117.9709,34.14695
Brawley,-115.53027,32.97866
Brea,-117.90029,33.91647
Brentwood,-121.69579,37.93187
Brisbane,-122.39997,37.68077
Buellton,-120.19265,34.6136
Buena Park,-117.99814,33.8674
Burbank,-118.30897,34.18084
Burlingame,-122.34809,37.57787
Calabasas,-118.66148,34.13672
Calexico,-115.49888,32.67895
California City,-117.9859,35.1258
Calimesa,-117.06198,34.0039
Calipatria,-115.51415,33.1256
Calistoga,-122.57971,38.5788
Camarillo,-119.0376,34.21639
Campbell,-121.94996,37.28717
Canyon Lake,-117.27309,33.68502
Capitola,-121.95329,36.97523
Carlsbad,-117.35059,33.15809
Carmel,-121.92329,36.55524
Carpinteria,-119.51846,34.39888
Carson,-118.28169,33.83167
Cathedral City,-116.4668,33.78054
Ceres,-120.95688,37.59472
Cerritos,-118.06479,33.85835
Chico,-121.83748,39.72849
Chino,-117.68894,34.01223
Chino Hills,-117.73258,33.98982
Chowchilla,-120.26018,37.123
Chula Vista,-117.0842,32.64005
Citrus Heights,-121.28106,38.70712
City of Industry,-117.95868,34.01973
Claremont,-117.71978,34.09668
Clayton,-121.93579,37.94103
Clearlake,-122.62637,38.95823
Cloverdale,-123.01722,38.80546
Clovis,-119.70292,36.82523
Coachella,-116.17389,33.6803
Coalinga,-120.36015,36.13968
Colfax,-120.95328,39.10073
Colma,-122.45615,37.6749
Colton,-117.31365,34.0739
Colusa,-122.00942,39.21433
Commerce,-118.15979,34.00057
Compton,-118.22007,33.89585
Concord,-122.03107,37.97798
Corcoran,-119.5604,36.09801
Corning,-122.17916,39.92766
Corona,-117.56644,33.87529
Coronado,-117.18309,32.68589
Corte Madera,-122.52748,37.92548
Costa Mesa,-117.90474,33.66384
Cotati,-122.70967,38.32934
Covina,-117.89034,34.09001
Crescent City,-124.20259,41.75575
Cudahy,-118.18579,33.96086
Culver City,-118.39647,34.02112
Cupertino,-122.03218,37.323
Cypress,-118.03685,33.81694
Daly City,-122.47021,37.68792
Dana Point,-117.6981,33.46723
Danville,-121.99996,37.82159
Davis,-121.74052,38.54491
Delano,-119.24705,35.76884
Del Mar,-117.26531,32.95949
Del Rey Oaks,-121.83495,36.59329
Desert Hot Springs,-116.50168,33.96112
Diamond Bar,-117.81034,34.02862
Dinuba,-119.38707,36.54328
Dixon,-121.8233,38.44546
Dorris,-121.91806,41.96737
Dos Palos,-120.62657,36.98606
Downey,-118.13316,33.94011
Duarte,-117.97729,34.13945
Dublin,-121.91012,37.71594
Dunsmuir,-122.27195,41.20821
East Palo Alto,-122.14108,37.46883
Eastvale,-117.5848,33.95246
El Cajon,-116.96253,32.79477
El Centro,-115.56305,32.792
El Cerrito,-122.31077,37.91613
Elk Grove,-121.37162,38.4088
El Monte,-118.02757,34.06862
El Segundo,-118.41647,33.91918
Emeryville,-122.28923,37.8395
